Question,Answer
Who was Blaise Pascal's father?,"His father, Ãtienne Pascal (1588â1651), who also had an interest in science and mathematics, was a local judge"
Who was Blaise Pascal's father?,Ãtienne Pascal.
Was Pascal a French mathematician?,yes
Was Pascal a French mathematician?,Yes.
Did Pascal have poor health throughout his life?,yes
Did Pascal have poor health throughout his life?,Yes.
How old was Pascal when he lost his mother?,at the age of three
How old was Pascal when he lost his mother?,3.
Who was Pascal's younger sister?,Jacqueline
Who was Pascal's younger sister?,Jacqueline.
What led Pascal to his religious conversion?,Two basic influences led him to his conversion: sickness and Jansenism
What led Pascal to his religious conversion?,sickness and Jansenism
How old was Pascal when he died?,39
How old was Pascal when he died?,1662-08-19.
Did Pascal write about cycloid before 1658?,no
Is there a programming language called Pascal?,yes
Is there a programming language called Pascal?,Yes.
Crowds of believers came to see and kiss the thorn; all of Catholic where acclaimed a miracle?,Paris
Wasn't Blaise Pascal a work of Desargues on conic sections?,"Yes, it was"
Who died the next morning?,Pascal.
When did his father die?,1651
When did his father die?,His father died in 1651.
"Was he a child prodigy who was educated by his father, a civil servant?",yes
"Was Pascal's earliest work in the natural and applied sciences where he made important contributions to the construction of mechanical calculators, the study of fluids, and clarified the concepts of pressure and vacuum by generalizing the work of Evangelista Torricelli?",Yes
Did Pascal also write in defense of the scientific method?,Yes
Do butterflies make sounds?,Some butterflies make sounds.
Do butterflies have two eyes?,"Yes, butterflies have two eyes."
Does a black moth mean that someone has died?,In the Philippines a black butterfly or moth mean that someone has died.
What is the outer layer of the cuticle made of?,The outer layer of the cuticle is made of of a mixture of chitin and specialized proteins.
Where was there a vast swarm of butterflies?,In Kyoto there was a vast swarm of butterflies.
What butterfly is migratory?,The Monarch butterfly is migratory.
Do butterflies carry more pollen than Hymenoptera?,"No, butterflies carry less pollen than Hymenoptera."
What allows the butterfly to evade predators?,A butterfly's hind wings allow the butterfly to evade predators.
What happens if a wing is removed?,If a ring is removed the other three will grow to a larger size.
Was Charles-Augustin de Coulomb a Spanish Biologist?,No.
Was Charles-Augustin de Coulomb a Spanish Biologist?,"No, he was a French physicist."
Was the SI unit of charge named after Charles-Augustin de Coulomb?,Yes.
Was the SI unit of charge named after Charles-Augustin de Coulomb?,"Yes, the SI unit of charge, the coulomb, was named after him."
Was Charles-Augustin de Coulomb ever employed at La Rochelle?,Yes.
Was Charles-Augustin de Coulomb ever employed at La Rochelle?,"Yes, upon his return to France, with the rank of Captain, he was employed at La Rochelle."
What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.
What is Charles-Augustin de Coulomb best known for?,He is best known for developing Coulomb's law.
Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,Pieter van Musschenbroek.
Whose ideas inspired Charles-Augustin de Coulomb's experiments on the resistance of masonries?,He carried out several experiments on the resistance of masonries which were inspired by the ideas of Pieter van Musschenbroek on friction.
When did Charles-Augustin de Coulomb join his father's family in Montpeillier?,From 1757 to 1759 he joined his father's family in Montpellier.
Did Charles-Augustin de Coulomb come from a poor family?,No.
Did Charles-Augustin de Coulomb come from a poor family?,"No, his mother came from a wealthy family in the wool trade."
What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.
What is Coulomb's law?,The definition of the electrostatic force of attraction and repulsion.
Where is Collège des Quatre-Nations located?,In Montpellier.
Where is Collège des Quatre-Nations located?,In Paris.
What happened in 1785?,Coulomb presented his three reports on Electricity and Magnetism
What happened in 1757 to 1759?,Charles-Augustin de Coulomb joined his father's family in Montpellier and took part in the work of the academy of the city.
"Regarding this topic, what did the Revolution do?",The Revolution caused Coulomb to resign his appointment as intendent des eaux et fontains and retire.
Who determined to pursue mathematics?,Charles-Augustin de Coulomb
When did Coulomb return to Paris?,In 1759.
Does Coulomb leave a legacy as a pioneer in the field of geotechnical engineering for his contribution to retaining wall design?,yes
Did the family move to Paris as well as there Coulomb studied at the prestigious Collge des Quatre-Nations?,Yes
Was Coulomb born in Angoulme France to a well-to-do family?,"Coulomb was born in AngoulÃªme, France, to a well-to-do family"
"Is he best known for developing Coulomb's law, the definition of the electrostatic force of attraction and repulsion?",Yes
"The SI unit of charge, the coulomb, was named after him?",Yes
"Did Coulomb die in AngoulÃªme, France, to a well-to-do family?",No
Are all spoken varieties of Chinese tonal and analytical?,yes
Are all spoken varieties of Chinese tonal and analytical?,yes
Is fifty percent or more of Korean vocabulary of Chinese origin?,Yes
Is fifty percent or more of Korean vocabulary of Chinese origin?,yes
"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",Yes
"Does ""ketchup"" come from the Minnan pronunciation of &#39853;&#27713; (koe-tsiap)?",yes
What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin
What is the most common romanization standard for Standard Mandarin today?,Hanyu Pinyin
"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?","Putonghua / Guoyu, often called ""Mandarin"""
"What is the official standard language used by the People's Republic of China, the Republic of China, and Singapore (where it is called ""Huayu"")?",Standard Mandarin
How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"85,568 head entries"
How many head entries for character definitions does the Zhonghua Zihai &#20013;&#21326;&#23383;&#28023; (1994) contain?,"54,678"
What does the PRC government classify as literacy amongst workers?,"knowledge of 2,000 characters"
What does the PRC government classify as literacy amongst workers?,a knowledge of 2000 characters
How is South China linguistically different from North China?,South China displays more linguistic diversity
&#20415;&#24403;/&#20415;&#30070; lunchbox or boxed lunch (from bento) and &#26009;&#29702; prepared cuisine are loan words from which language?,Japanese
&#20415;&#24403;/&#20415;&#30070; lunchbox or boxed lunch (from bento) and &#26009;&#29702; prepared cuisine are loan words from which language?,Chinese
What is the standardized form of spoken chinese?,The standardized form of spoken Chinese is Standard Mandarin.
What is the standardized form of spoken chinese?,The standardized from of spoken Chinese is Standard Mandarin.
Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan."
Is diglossia a common feature in mainland China and Taiwan?,"Yes, diglossia is a common feature in mainland China and Taiwan."
Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family."
Do linguists often view Chinese as a language family?,"Yes, linguists often view Chinese as a language family."
When did classical Chinese literature begin?,Classical Chinese literature began in the Spring and Autumn period.
When did classical Chinese literature begin?,Classical Chinese literature began in the 14th to 11th centuires BCE.
How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,The government of the People's Republic of China refers to all divisions of the Sinitic language(s) besides Standard Mandarin as fangyan.
How does the government of the People's Republic of China often refer to all divisions of the Sinitic language(s) besides Standard Mandarin?,"The PRC commonly refers to all divisons of the Sinitic language(s) beside Standard Mandarin as fangyan, or ""regional tongues."""
When was Middle Chinese used?,"Middle Chinese was used during Southern and Northern Dynasties and the Sua, Tang, and Sang dynasties."
When was Middle Chinese used?,Middle Chinese was the language used in the 6th through 1-th centuries CE.
How is the pronunciation of foreign words determined?,The pronunciation of foreign words is done by employing Chinese characters with similar pronuncations.
